,endTime,artistName,trackName,msPlayed
2131,2020-07-01 15:33,YesYou,Everybody's Got to Learn Sometime (Tentendo Remix),54256
2132,2020-07-01 15:36,Will Hearn,Let The Light In,170057
2133,2020-07-01 15:48,Geoffroy,21 Days,257746
2134,2020-07-01 15:51,Trinix,Find Me,178965
2135,2020-07-01 15:54,Cards,Left Behind the Gold,149854
2136,2020-07-01 16:00,SG Lewis,Chemicals,254871
2137,2020-07-01 16:04,Valley,Sports Car,245373
2138,2020-07-01 16:07,Valley,There's Still A Light In The House,203106
2139,2020-07-01 18:17,Terrell Morris,Pretty Life,256300
2140,2020-07-01 18:21,Terrell Morris,Pretty Life,256300
2141,2020-07-01 18:25,Terrell Morris,Pretty Life,256300
2142,2020-07-01 18:29,Terrell Morris,Pretty Life,256300
2143,2020-07-01 18:34,Terrell Morris,Pretty Life,256300
2144,2020-07-01 18:38,Terrell Morris,Pretty Life,256300
2145,2020-07-01 18:42,Terrell Morris,Pretty Life,256300
2146,2020-07-01 18:47,Terrell Morris,Pretty Life,256300
2147,2020-07-01 18:51,Terrell Morris,Pretty Life,256300
2148,2020-07-01 18:55,Terrell Morris,Pretty Life,256300
2149,2020-07-01 18:59,Terrell Morris,Pretty Life,256300
2150,2020-07-01 19:04,Terrell Morris,Pretty Life,256300
2151,2020-07-01 19:05,Terrell Morris,Pretty Life,39246
2152,2020-07-01 19:18,FantasyPros - Fantasy Football Podcast,20 Players to Avoid This Year (Ep. 506),748938
2153,2020-07-01 19:22,Terrell Morris,Pretty Life,256300
2154,2020-07-01 19:25,Ehrling,Tonight,161500
2155,2020-07-01 19:28,Armin van Buuren,Hollow,207997
2156,2020-07-01 19:32,Henry Green,Another Light (Cyril Hahn Remix),222656
2157,2020-07-01 19:35,Frank Walker,Piano,166588
2158,2020-07-01 19:39,Valley,Sports Car,245373
2159,2020-07-01 19:39,Valley,Sports Car,11795
2160,2020-07-01 19:43,Valley,There's Still A Light In The House,203106
2161,2020-07-01 19:46,Valley,There's Still A Light In The House,203106
2162,2020-07-01 19:50,Valley,There's Still A Light In The House,203106
2163,2020-07-01 19:53,Valley,There's Still A Light In The House,203106
